method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
pooled_policy_logdet,0.1,0.38249999999999995,0.735,0.032519162989501464,0.0011623304642578067,0.03253992891273587,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9912534093734721,True
pooled_policy_logdet,0.1,0.38249999999999995,0.79375,0.03620636724403637,-0.0029228177790641754,0.03632415026920304,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9931254569541887,True
pooled_policy_logdet,0.1,0.38249999999999995,0.8525,0.0398935714985713,-0.005613843717565925,0.04028662666688382,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9944716915873907,True
pooled_policy_logdet,0.1,0.38249999999999995,0.91125,0.0435807757531062,-0.0060175656991447455,0.043994262264368665,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9954666371651018,True
pooled_policy_logdet,0.1,0.38249999999999995,0.97,0.047267980007641125,-0.0031177676343749957,0.04737069145605453,0.059656406832758815,0.03443602367766728,-0.025220383155091543,0.9962200853795354,True
pooled_policy_logdet,0.1,0.44125,0.03,-0.01626868277334788,0.0017640451828125,0.016364042733592148,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9825095099986715,True
pooled_policy_logdet,0.1,0.44125,0.08875,-0.012251099359246086,0.006142598659537123,0.01370477850248836,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9732430034965537,True
pooled_policy_logdet,0.1,0.44125,0.1475,-0.008233515945144291,0.011047794668804933,0.013778408901720838,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9541676024913294,True
pooled_policy_logdet,0.1,0.44125,0.20625,-0.004215932531042507,0.015771781221628187,0.016325537357441133,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9048418521522198,True
pooled_policy_logdet,0.1,0.44125,0.265,-0.00019834911694070582,0.019748638212597657,0.019749634265582326,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.7092591866916695,True
pooled_policy_logdet,0.1,0.44125,0.32375,0.003819234297161087,0.022554377419882587,0.0228754560919585,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,-0.7689521242028632,True
pooled_policy_logdet,0.1,0.44125,0.38249999999999995,0.007836817711262873,0.02390694250523071,0.025158648846628672,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.5113589183476197,True
pooled_policy_logdet,0.1,0.44125,0.44125,0.011854401125364667,0.023666209013968275,0.026469157053708385,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.8707509767483891,True
pooled_policy_logdet,0.1,0.44125,0.5,0.015871984539466463,0.021833984374999997,0.026993383761744403,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.9433826825862174,True
pooled_policy_logdet,0.1,0.44125,0.55875,0.01988956795356824,0.0185540079008091,0.027200112546879197,0.016871187426524933,-0.009488800445847755,-0.02635998787237269,0.968585258124768,True
