experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,complete_weighted_oracle,uniform,4,0.2,q,-0.4023894473684225,-0.4160670540038936,-0.38871184073295145,20
main,complete_weighted_oracle,uniform,4,0.2,pi1_a0,-0.22646511369293298,-0.23079221350145368,-0.2221380138844123,20
main,uniform_action_oracle,uniform,4,0.2,population_return,-0.37072181094308176,-0.37753660419506335,-0.3639070176911002,20
main,uniform_action_oracle,uniform,4,0.2,q,-0.34270534412806064,-0.3545743196665,-0.3308363685896213,20
main,uniform_action_oracle,uniform,4,0.2,pi1_a0,-0.2678106137703046,-0.2737862302786888,-0.26183499726192033,20
main,visitation_only_oracle,uniform,4,0.2,population_return,0.0022250354523582427,0.0018375659107432612,0.002612504993973224,20
main,visitation_only_oracle,uniform,4,0.2,q,0.002106893672725729,0.0017441804872182127,0.0024696068582332454,20
main,visitation_only_oracle,uniform,4,0.2,pi1_a0,0.0011141746832255771,0.0008970533555843914,0.0013312960108667628,20
main,full_pooled_fisher_oracle,uniform,4,0.2,population_return,-0.34892887335304623,-0.35550471129854677,-0.3423530354075457,20
main,full_pooled_fisher_oracle,uniform,4,0.2,q,-0.30350319608929854,-0.3133626200481769,-0.2936437721304202,20
main,full_pooled_fisher_oracle,uniform,4,0.2,pi1_a0,-0.2541764634579903,-0.2600414802327522,-0.24831144668322838,20
main,detached_conditional_sampled,uniform,4,0.2,population_return,-0.3540478659533822,-0.3602790664407207,-0.34781666546604373,20
main,detached_conditional_sampled,uniform,4,0.2,q,-0.36350643506291425,-0.3761240296335761,-0.3508888404922524,20
main,detached_conditional_sampled,uniform,4,0.2,pi1_a0,-0.21433255029868875,-0.21770702281252804,-0.21095807778484946,20
main,detached_conditional_oracle,uniform,32,0.01,population_return,-0.0124351375101048,-0.012530424595161413,-0.012339850425048185,20
main,detached_conditional_oracle,uniform,32,0.01,q,-0.008994618452646385,-0.009096201552796414,-0.008893035352496356,20
main,detached_conditional_oracle,uniform,32,0.01,pi1_a0,-0.006711029944804781,-0.006761337864229846,-0.006660722025379716,20
main,complete_weighted_oracle,uniform,32,0.01,population_return,-0.01251795081546193,-0.012614912896452035,-0.012420988734471826,20
main,complete_weighted_oracle,uniform,32,0.01,q,-0.009102431292232644,-0.009203784483282781,-0.009001078101182506,20
main,complete_weighted_oracle,uniform,32,0.01,pi1_a0,-0.006725953212763975,-0.00677764647331878,-0.006674259952209169,20
main,uniform_action_oracle,uniform,32,0.01,population_return,-0.012496279383865189,-0.012594341595598739,-0.012398217172131638,20
main,uniform_action_oracle,uniform,32,0.01,q,-0.00884106062738908,-0.008945910066559025,-0.008736211188219134,20
main,uniform_action_oracle,uniform,32,0.01,pi1_a0,-0.006917851970926181,-0.0069719620461001506,-0.006863741895752211,20
main,visitation_only_oracle,uniform,32,0.01,population_return,0.00025590430527099305,0.00022072263698408168,0.0002910859735579044,20
main,visitation_only_oracle,uniform,32,0.01,q,0.00023329083925444639,0.00020040591864360632,0.0002661757598652865,20
main,visitation_only_oracle,uniform,32,0.01,pi1_a0,0.0001360393972163365,0.00011541183317475352,0.00015666696125791948,20
main,full_pooled_fisher_oracle,uniform,32,0.01,population_return,-0.012228110519560026,-0.012336343920592628,-0.012119877118527423,20
main,full_pooled_fisher_oracle,uniform,32,0.01,q,-0.00856280506029305,-0.008683436140658139,-0.00844217397992796,20
main,full_pooled_fisher_oracle,uniform,32,0.01,pi1_a0,-0.006779266652171978,-0.006831291888299317,-0.006727241416044639,20
main,detached_conditional_sampled,uniform,32,0.01,population_return,-0.01243501844873035,-0.012530580825804017,-0.012339456071656684,20
main,detached_conditional_sampled,uniform,32,0.01,q,-0.008997948408066808,-0.009100300239003815,-0.008895596577129801,20
main,detached_conditional_sampled,uniform,32,0.01,pi1_a0,-0.006708115805705228,-0.00675849204582019,-0.006657739565590266,20
main,detached_conditional_oracle,uniform,32,0.1,population_return,-0.17920362463122752,-0.18041672391913757,-0.17799052534331747,20
main,detached_conditional_oracle,uniform,32,0.1,q,-0.15805439887319933,-0.16000240708593777,-0.1561063906604609,20
main,detached_conditional_oracle,uniform,32,0.1,pi1_a0,-0.10352590385154095,-0.10402789705813142,-0.10302391064495048,20
