initialization,metric,left_switch,right_switch,full_ranges_overlap,central_5_95_ranges_overlap,left_min,left_max,right_min,right_max,left_p05,left_p95,right_p05,right_p95
uniform,f1_eigenvalue_2,500,1500,False,False,0.06023778932747979,0.06642859609289259,0.04338090733303042,0.04545681857050924,0.06183392935954948,0.06538932151549329,0.043770185420271,0.04504588535438358
uniform,f_pool_lambda_min,500,1500,False,False,0.020532552568976903,0.02142612162370574,0.016673664174555368,0.01713854981019599,0.02058703713451662,0.02127038720593394,0.016762831426599636,0.01707687069122488
uniform,f_pool_lambda_max,500,1500,False,False,0.2522395491289598,0.2732519521324842,0.21816900189238142,0.23928898458675912,0.25683197679611425,0.2690829468529294,0.22232274935267807,0.236711212585955
uniform,f_pool_trace,500,1500,False,False,0.4154174385258831,0.43653733733989536,0.36072662027634744,0.38473648846356834,0.4199688262117641,0.4339073416842063,0.3662679060441113,0.38156248010989996
uniform,f_pool_logdet,500,1500,False,False,-10.671569495748432,-10.496094142077203,-11.406588819027832,-11.223316184430132,-10.619332059048382,-10.522970041119665,-11.369757785309732,-11.246191553462113
uniform,f_pool_condition,500,1500,True,False,11.933770821787492,13.297124597136953,12.866182401867018,14.202047606370618,12.208130000081397,12.90778189429624,13.08771420706375,14.010567784817045
uniform,f_pool_eigenvalue_1,500,1500,False,False,0.2522395491289598,0.2732519521324842,0.21816900189238142,0.23928898458675912,0.25683197679611425,0.2690829468529294,0.22232274935267807,0.236711212585955
uniform,f_pool_eigenvalue_2,500,1500,True,True,0.09000496043104361,0.0941993324859991,0.0920376497619395,0.09477129105955964,0.09108994217841604,0.0935448373782885,0.09222642777250117,0.09433721695159687
uniform,f_pool_eigenvalue_3,500,1500,False,False,0.04816559148862148,0.052730722460175156,0.03228728995060225,0.035300819032984675,0.04892224391975451,0.052053810545988365,0.03295787643209363,0.0348820185401692
uniform,f_pool_eigenvalue_4,500,1500,False,False,0.020532552568976903,0.02142612162370574,0.016673664174555368,0.01713854981019599,0.02058703713451662,0.02127038720593394,0.016762831426599636,0.01707687069122488
uniform,f_ref_lambda_min,500,1500,False,False,0.030118894663739897,0.033214298046446294,0.02169045366651521,0.02272840928525462,0.03091696467977474,0.032694660757746644,0.0218850927101355,0.02252294267719179
uniform,f_ref_lambda_max,500,1500,False,False,0.19200556591812387,0.19938175423128546,0.1787855805163463,0.19094374856118956,0.1939876490395585,0.19814289818144298,0.18124761527614539,0.18955786817611003
uniform,f_ref_trace,500,1500,False,False,0.39491962812134995,0.41370899011331363,0.3466679596162202,0.3666022584650967,0.39947508458079456,0.4118540048092997,0.3509568300993134,0.36423164985662665
uniform,f_ref_logdet,500,1500,False,False,-10.45794796607704,-10.22147477186562,-11.30710593961258,-11.090810764232469,-10.398259585691363,-10.249140734402298,-11.262885050670054,-11.120697724483456
uniform,f_ref_condition,500,1500,False,False,5.957178057014402,6.4240693096020145,8.194237213576999,8.523530758733555,6.033504976659655,6.302194044212199,8.227093588531392,8.473920144833418
uniform,f_ref_eigenvalue_1,500,1500,False,False,0.19200556591812387,0.19938175423128546,0.1787855805163463,0.19094374856118956,0.1939876490395585,0.19814289818144298,0.18124761527614539,0.18955786817611003
uniform,f_ref_eigenvalue_2,500,1500,False,False,0.13473961445966942,0.14425665221241343,0.11973307093502125,0.12476135425918781,0.13747379528163928,0.14274375495966068,0.12036692538288223,0.12422588051188692
uniform,f_ref_eigenvalue_3,500,1500,False,False,0.03657525214947328,0.03847564075551545,0.026458854498337417,0.028168746359464723,0.03693743940751755,0.038282262269645706,0.02686875993121749,0.027935381086252944
uniform,f_ref_eigenvalue_4,500,1500,False,False,0.030118894663739897,0.033214298046446294,0.02169045366651521,0.02272840928525462,0.03091696467977474,0.032694660757746644,0.0218850927101355,0.02252294267719179
adverse,population_return,500,1000,False,False,0.3061639780153479,0.31178160791889353,0.35431437572326246,0.36728671272233826,0.3070745267243606,0.3101087025672483,0.3552648888344263,0.36372867456563596
adverse,q,500,1000,False,False,0.23251205632537708,0.24636344433258292,0.28558808009557907,0.32749581621894486,0.23519321351023564,0.2438042892794155,0.2917574264796339,0.31448564901285964
adverse,p_good,500,1000,False,False,0.0550665939538868,0.06546097303922795,0.26968254043243217,0.3375663234146164,0.05661865649716636,0.0633687371123675,0.27793610251342915,0.31778744501226736
adverse,v1,500,1000,False,False,0.2001344152191372,0.20567416409424671,0.3532762232291516,0.4095071865636632,0.20094266216483966,0.20457783840836122,0.36000609908746783,0.3930399256963702
adverse,delta_safe,500,1000,False,False,-0.2998655847808628,-0.2943258359057533,-0.1467237767708484,-0.0904928134363368,-0.2990573378351603,-0.29542216159163875,-0.13999390091253217,-0.1069600743036298
adverse,d_explore_j,500,1000,False,False,-0.12567975714851973,-0.12390565665690811,-0.07405388245763393,-0.04844796700557548,-0.1254614868166694,-0.12439531634344242,-0.0711967752380279,-0.05605195919995795
adverse,explore_logit_reward_gradient,500,1000,False,False,-0.025659998819738145,-0.024937479779033985,-0.00029732703573095667,0.013688335353982305,-0.02561415846402208,-0.02507915236231085,0.0012507661200430375,0.00950088497451888
adverse,reward_gradient_norm,500,1000,False,False,0.10286425143270547,0.103794063323291,0.09077636425087637,0.09429395575294201,0.10310563018657809,0.10364381796173193,0.09104476839199992,0.09273918256934516
adverse,beta_conditional_gradient_norm,500,1000,False,False,0.10994168969610695,0.11964382721705771,0.06014841897047868,0.08563374787878565,0.11174789785217655,0.1179694114789427,0.06681149402316486,0.0812398604031867
adverse,reward_to_barrier_norm_ratio,500,1000,False,False,0.8642443450399553,0.9370220841533579,1.0600536178723612,1.5676880185200253,0.8774344225305604,0.9224139912951164,1.1224346232035733,1.3885124336947445
adverse,reward_barrier_cosine,500,1000,False,False,-0.8393683252665618,-0.8052604729943178,-0.6917446411422109,-0.6362838650955878,-0.8329124424800112,-0.8124810219613617,-0.6799943711791985,-0.6402528589343981
adverse,min_pi0,500,1000,False,False,0.23251205632537708,0.24252082246055243,0.20553034698902373,0.2088569023692758,0.23519321351023564,0.2414097143782182,0.20615304354897412,0.2082226678483057
adverse,min_pi1,500,1000,False,False,0.0550665939538868,0.06546097303922795,0.26968254043243217,0.3082677135998104,0.05661865649716636,0.0633687371123675,0.27793610251342915,0.30750825605343635
adverse,entropy0,500,1000,True,False,1.0176658844624573,1.0314465474360097,1.0275826734559896,1.0471844032420183,1.0209244911625857,1.0290076892195055,1.0319247638829419,1.0427513528601153
adverse,entropy1,500,1000,False,False,0.7254668695009955,0.7670828197860482,1.0814960731194831,1.0961188610050603,0.7318782104861699,0.75928614808899,1.084735824594242,1.0946677000406662
adverse,empirical_fisher_rank,500,1000,True,True,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
adverse,sampled_s1_count,500,1000,True,True,1.0,14.0,2.0,17.0,3.95,11.0,5.0,14.0
adverse,f0_lambda_min,500,1000,False,False,0.0857540948647246,0.08772243528400679,0.08007707529982312,0.08144703753094637,0.08627419216830393,0.08734444768723078,0.0804286369538812,0.08133457772382906
adverse,f0_lambda_max,500,1000,False,False,0.34183809296923673,0.3478391497725194,0.37388526979641346,0.3878082300669372,0.3429247689048995,0.34656773488578974,0.37605707407434674,0.3839238406943419
adverse,f0_trace,500,1000,False,False,0.42759218783396136,0.4355356250979716,0.45396234509623656,0.4690832063313852,0.4292457031890592,0.43415285958778754,0.4566341169202977,0.4650763754119349
adverse,f0_logdet,500,1000,True,False,-3.5296895069369665,-3.4896673480238443,-3.5085719607520263,-3.4571614187788686,-3.520182268403757,-3.4967110912497392,-3.496563715440302,-3.468215388017458
