initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,2990,population_return,0.9829048832830477,0.9828810031642001,0.9829287634018953
uniform,500,sampled,3000,population_return,0.9829788769887656,0.982955295440647,0.9830024585368843
uniform,500,sampled,3010,population_return,0.9830526036981995,0.9830289252786547,0.9830762821177442
uniform,500,sampled,3020,population_return,0.9831233708099796,0.9830995920915836,0.9831471495283756
uniform,500,sampled,3030,population_return,0.9831962009097294,0.9831725787010206,0.9832198231184381
uniform,500,sampled,3040,population_return,0.9832671501687479,0.9832435585013702,0.9832907418361255
uniform,500,sampled,3050,population_return,0.9833384538289706,0.9833150188360213,0.9833618888219198
uniform,500,sampled,3060,population_return,0.9834092242638915,0.9833860070891611,0.983432441438622
uniform,500,sampled,3070,population_return,0.9834777947587373,0.983454753687474,0.9835008358300006
uniform,500,sampled,3080,population_return,0.9835450912616963,0.9835220622696893,0.9835681202537033
uniform,500,sampled,3090,population_return,0.9836134642954402,0.9835905429510242,0.9836363856398561
