beta,applied_fisher_gradient_norm,applied_fisher_to_reward_ratio,effective_fisher_beta,elapsed_seconds,fisher_components_90,fisher_effective_rank,fisher_full_condition_number,fisher_gradient_clip_ratio,fisher_gradient_clip_scale,fisher_gradient_was_clipped,fisher_log10_full_condition_number,fisher_log10_positive_condition_number,fisher_logdet_margin,fisher_loss,fisher_maximum_eigenvalue,fisher_minimum_eigenvalue,fisher_numerical_rank,fisher_parameter_count,fisher_positive_condition_number,fisher_rank,fisher_surrogate,fisher_trace,fisher_trajectory_count,mean_batch_return,mean_episode_length,nominal_fisher_beta,nominal_fisher_gradient_norm,return_std,reward_fisher_gradient_cosine,reward_gradient_norm,reward_loss,reward_trajectory_count,separate_fisher_batch,total_gradient_norm,total_loss,update
2e-06,3.8514158725738525,0.029523038454889378,2e-06,2.4515888469759375,2,1.8979551045526095,2239168037427944.5,0.2,1.0,False,15.350086686249576,14.085707378538096,-229.86717815251478,0.0031564126758540224,397.70170674449145,1.7761137176704154e-13,14,16,121816853766395.52,16,-1578.2063379270112,592.2768888623513,256,-0.9077318676492065,96.09375,2e-06,3.8514158725738525,37.78429217952166,0.318052738904953,130.45458984375,6.791046142578125,32,True,131.7301483154297,6.794202555253979,11
2e-06,3.3758513927459717,0.035473511749409006,2e-06,2.3374504970852286,2,1.939267128397203,1768993781492206.0,0.2,1.0,False,15.247726306245864,14.447229798752609,-229.44619825838237,0.003157482129705008,317.6686698954519,1.7957591101732852e-13,15,16,280046273982706.8,16,-1578.7410648525042,496.5281692725058,256,-7.8074246882089104,96.3125,2e-06,3.3758513927459717,31.356660124476353,0.10665424168109894,95.16541290283203,-23.061134338378906,32,True,95.58441925048828,-23.0579768562492,12
2e-06,40.68369674682617,0.20000001125177244,1.96617808046942e-06,2.2284827739931643,2,1.9510682689554086,2695410924292142.5,0.2,0.9830890402347102,True,15.430624984197449,14.306912193054929,-226.9050420435487,0.0037335309949129065,320.81204549690426,1.1902157203772356e-13,15,16,202727279806243.53,16,-1898.8773356793477,507.5267715977661,256,11.049639023151116,94.1875,2e-06,41.38352966308594,46.26484056488105,-0.09135927259922028,203.41847229003906,62.884765625,32,True,203.7696990966797,62.888499155994914,13
2e-06,9.61062240600586,0.06045959396461649,2e-06,2.3440268189879134,2,1.9615760568661276,2330797977995364.5,0.2,1.0,False,15.367504632660847,13.79542811653079,-227.04075438905167,0.004490402087277407,312.0796528001704,1.3389390918752162e-13,14,16,62435000068620.02,16,-2245.2010436387036,502.7851380586383,256,7.793375107035288,93.59375,2e-06,9.61062240600586,44.99556562455914,0.0997408926486969,158.9594268798828,62.57280731201172,32,True,160.2036590576172,62.577297714099,14
2e-06,19.198543548583984,0.1122276305502446,2e-06,2.4740870979148895,2,1.9046927002963752,2156568917042203.0,0.2,1.0,False,15.333763341365762,13.75988261976432,-226.55984577756647,0.003607607539174669,316.086913766339,1.4656935434266641e-13,14,16,57528442960887.336,16,-1803.8037695873345,470.41292171585377,256,4.72709980332797,94.28125,2e-06,19.198543548583984,43.13077505640447,0.3638211190700531,171.06788635253906,17.351913452148438,32,True,178.94851684570312,17.35552105968761,15
2e-06,9.078615188598633,0.07395886292697419,2e-06,2.2688106959685683,2,1.9877053079855003,1995333083112090.0,0.2,1.0,False,15.300015403322575,13.830939336128644,-227.1997367770519,0.0030337211302065687,286.7774059487178,1.4372407713575096e-13,14,16,67754685873069.586,16,-1516.8605651032844,482.4514174835314,256,-1.21608921589185,94.09375,2e-06,9.078615188598633,38.7018580768209,0.31472650170326233,122.75222778320312,-33.387481689453125,32,True,125.90474700927734,-33.38444796832292,16
2e-06,5.80912446975708,0.04345832883385356,2e-06,2.4017860050080344,2,1.9823020408621106,1906781713037942.5,0.2,1.0,False,15.280300978180117,14.302313170989422,-228.15694611884936,0.0040807417837658054,270.37152992230665,1.4179469420835934e-13,15,16,200591797913776.75,16,-2040.3708918829027,452.42663955215426,256,11.289227418184488,94.0625,2e-06,5.80912446975708,46.571318295434324,-0.003528777277097106,133.671142578125,-37.719757080078125,32,True,133.77682495117188,-37.71567633829436,17
2e-06,8.020513534545898,0.08727099519748537,2e-06,2.4129027409944683,2,1.9838761195764263,2640424897764209.5,0.2,1.0,False,15.421673819258546,14.402243199224019,-229.89249192023482,0.0037250002507981414,261.8677154922579,9.917635442462138e-14,15,16,252489428441253.94,16,-1862.5001253990708,441.2148744355194,256,-5.907309471315957,96.71875,2e-06,8.020513534545898,34.8689472060974,-0.0688960924744606,91.9035415649414,-45.15766906738281,32,True,91.70071411132812,-45.15394406713202,18
2e-06,11.291749954223633,0.13120084452497952,2e-06,2.5245611070422456,2,2.013761537744109,1664557063949038.0,0.2,1.0,False,15.221298688127941,14.30920797265653,-230.0883762062774,0.0025334165195717404,248.71663678628664,1.4941911104941329e-13,15,16,203801779930392.06,16,-1266.7082597858703,457.8444443836256,256,4.517670050536347,93.5,2e-06,11.291749954223633,43.36796699720134,-0.08363260328769684,86.06461334228516,37.73858642578125,32,True,85.86075592041016,37.74111984230082,19
2e-06,17.712831497192383,0.20000000430726997,1.7130789184458848e-06,2.853415542980656,2,1.9842231714245089,2008205784762199.8,0.2,0.8565394592229425,True,15.302808213755604,14.044445264292914,-231.17524834147588,0.003405340064600818,294.79602460516196,1.467957252399161e-13,14,16,110775894170279.16,16,-1987.8477447438104,496.2526105331423,256,-2.6321143858193334,97.65625,2e-06,20.679527282714844,36.85386324143292,0.014194980263710022,88.56415557861328,44.23609924316406,32,True,90.56429290771484,44.239504583228666,20
