beta,seed,update,mean_batch_return,numerical_rank,effective_rank,components_90,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,log10_positive_condition_number,full_condition_number,log10_full_condition_number,trace,logdet_margin
2e-06,101,98,66.00448438531612,16,2.413827299327348,2,3.3251596805708793e-10,178.96610321284172,538218071927.6494,11.730958276123179,538218071927.6494,11.730958276123179,327.3128958738363,-122.309382424139
2e-06,101,99,66.27750406153278,16,2.477712532662577,2,4.89666504567953e-10,179.5515486752825,366681296352.3124,11.564288758070381,366681296352.3124,11.564288758070381,343.2196545694215,-119.85901928383618
2e-06,101,100,51.18710367415154,16,2.3554293258276724,2,3.8022025793900426e-10,229.14182543941388,602655488903.9429,11.78006911641024,602655488903.9429,11.78006911641024,385.28105456924925,-119.84976825834858
2e-06,101,101,55.43238477370997,16,2.4691797834763416,2,6.9085008988164e-10,155.9484171159809,225734091085.8082,11.353597152575325,225734091085.8082,11.353597152575325,312.03334607029717,-118.32444213194341
2e-06,101,102,41.917490477882694,16,2.3303830848232714,2,6.350580178201436e-10,201.4370770549042,317194762372.01636,11.501326007486325,317194762372.01636,11.501326007486325,369.8195620947916,-117.27083102569685
2e-06,101,103,76.80212180399091,16,2.3511195996806413,2,8.030043248504731e-10,221.27096754473664,275553892671.67316,11.44020655055977,275553892671.67316,11.44020655055977,361.55704805432856,-116.25039864146547
2e-06,101,104,52.90956413370732,16,2.395208733739972,2,8.99861661126628e-10,188.59047787876048,209577189501.15616,11.321344012028907,209577189501.15616,11.321344012028907,331.92723473736606,-116.26274124910101
2e-06,101,105,58.72717235722375,16,2.441895432541972,2,1.0781249602957512e-09,178.21368514598632,165299656077.99188,11.218271949980487,165299656077.99188,11.218271949980487,310.5638572025091,-115.0376634413808
2e-06,101,106,61.3009827589307,16,2.369468918214106,2,1.015821991754078e-09,187.66470032763613,184741718382.75006,11.266564978913753,184741718382.75006,11.266564978913753,335.06640786616595,-115.14895738979166
2e-06,101,107,69.05440313971678,16,2.3086999530635044,2,1.4491693498273276e-09,216.34746523440077,149290671418.20184,11.174032671233581,149290671418.20184,11.174032671233581,347.44273390144497,-112.57526841030779
2e-06,101,108,74.5791459686524,16,2.3998938913544103,2,1.2024891268738941e-09,188.28457433312764,156579024396.3455,11.194733582759838,156579024396.3455,11.194733582759838,327.6102886082331,-112.463231842977
2e-06,101,109,59.68046751964552,16,2.3636436024556504,2,1.564729651694108e-09,190.30969984648192,121624652310.02469,11.085021611754899,121624652310.02469,11.085021611754899,327.3561495661819,-111.36569571221698
2e-06,101,110,79.10823515142982,16,2.3659027835089406,2,1.7735211180530171e-09,210.42161864357567,118646243623.29436,11.07425399287363,118646243623.29436,11.07425399287363,350.3990358872028,-109.26161203645395
2e-06,101,111,73.74512043007803,16,2.377125882383225,2,1.8207583707473058e-09,230.98252636744496,126860614828.66685,11.103326811870291,126860614828.66685,11.103326811870291,379.7089264473321,-108.84214197114133
2e-06,101,112,68.66032693463157,16,2.2902712914919503,2,1.993323249309486e-09,267.13249416451606,134013634896.92621,11.127148986866663,134013634896.92621,11.127148986866663,406.7348771775873,-107.60268122980524
2e-06,101,113,74.60555649262167,16,2.3040909775785856,2,1.7962540438663767e-09,246.35094086027428,137147048715.89996,11.137186466405076,137147048715.89996,11.137186466405076,385.59141149516915,-108.56640713450062
2e-06,101,114,79.4850749329805,16,2.2877495872865965,2,2.694594603599503e-09,280.31457241107205,104028476876.12126,11.017152239849553,104028476876.12126,11.017152239849553,437.49599986706085,-106.17038695631572
2e-06,101,115,65.70973755799858,16,2.2382687291572463,2,2.7417004574993752e-09,277.41046523946926,101181901356.38933,11.005102836179777,101181901356.38933,11.005102836179777,413.33123298835307,-106.08502210167092
