seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
102,reward_only,0.003,0.0,0.99,4,True,False,0.25,200,32,99026,-50.77288781333799,-49.30747860292084,-341.90182993828364,
102,reward_only,0.003,0.0,0.99,4,True,True,0.25,200,32,109551,-88.20141253370511,-28.44424824405429,-373.73799617498133,
102,reward_only,0.003,0.0,0.99,8,True,False,0.25,200,32,211223,-63.60169736925421,-27.566041123411445,-266.0321875844339,
102,reward_only,0.003,0.0,0.99,8,True,True,0.25,200,32,296722,-12.58983753265385,5.725205244333299,-189.01735958550054,
103,reward_only,0.001,0.0,0.97,4,True,False,0.25,200,32,69697,-149.13883228656525,-132.89863250387356,-268.9896546106114,
103,reward_only,0.001,0.0,0.97,4,True,True,0.25,200,32,71545,-169.84801112220507,-121.05453047436706,-199.75588901520098,
103,reward_only,0.001,0.0,0.97,8,True,False,0.25,200,32,143850,-133.44532476359007,-123.26373331979582,-197.1077148581371,
103,reward_only,0.001,0.0,0.97,8,True,True,0.25,200,32,145704,-135.19477669279632,-116.32853378685422,-155.34587595226407,
103,reward_only,0.001,0.0,0.99,4,True,True,0.25,200,32,68517,-136.809283113016,-124.64665844749786,-152.12697072309194,
103,reward_only,0.001,0.0,0.99,4,True,False,0.25,200,32,69955,-147.0529003319727,-133.98839935547358,-235.60258956107933,
103,reward_only,0.001,0.0,0.99,8,True,False,0.25,200,32,139179,-142.0323086287655,-115.41377556148223,-158.72142057983632,
103,reward_only,0.001,0.0,0.99,8,True,True,0.25,200,32,141627,-133.37897761095766,-117.43695177296715,-159.1692017825399,
103,reward_only,0.003,0.0,0.97,4,True,False,0.25,200,32,80824,-124.37647921889202,-86.71622197464501,-991.3199753042741,
103,reward_only,0.003,0.0,0.97,4,True,True,0.25,200,32,77916,-98.91833171685917,-75.16850975794624,-1528.95337795629,
103,reward_only,0.003,0.0,0.97,8,True,False,0.25,200,32,192060,-61.51750768405141,-47.88038828863009,-884.9422461585689,
