seed,learning_rate,beta,checkpoint_update,batch_update,reward_trajectory_count,fisher_trajectory_count,reward_gradient_norm,status,fisher_surrogate_gradient_norm,barrier_gradient_norm,total_gradient_norm,barrier_to_reward_ratio,reward_barrier_cosine,domain_failure
102.0,0.02,2e-05,150.0,151.0,32.0,256.0,160.43136596679688,complete,530516.75,10.610333442687988,160.47897338867188,0.06613627821207047,-0.028580904006958008,
102.0,0.02,2e-05,200.0,201.0,32.0,256.0,36.38339614868164,complete,365119.9375,7.302398681640625,36.99135208129883,0.20070689916610718,-0.01640327274799347,
102.0,0.02,2e-05,250.0,251.0,32.0,256.0,32.56935119628906,complete,89633.1015625,1.7926621437072754,31.97825813293457,0.05504138395190239,-0.3542554974555969,
103.0,0.02,2e-05,50.0,51.0,32.0,256.0,125.82184600830078,complete,4328980.0,86.57958984375,151.1378173828125,0.6881125569343567,-0.02223886549472809,
103.0,0.02,2e-05,100.0,101.0,32.0,256.0,174.43350219726562,complete,21715024.0,434.30047607421875,459.93572998046875,2.489776849746704,-0.049520932137966156,
103.0,0.02,2e-05,150.0,151.0,32.0,256.0,74.18042755126953,complete,1091059.625,21.821191787719727,76.25187683105469,0.2941637337207794,-0.05082834139466286,
103.0,0.02,2e-05,200.0,201.0,32.0,256.0,139.29296875,complete,109310.2265625,2.186204433441162,139.47189331054688,0.015695009380578995,0.07404220104217529,
103.0,0.02,2e-05,250.0,251.0,32.0,256.0,20.070796966552734,complete,208927.046875,4.17854118347168,17.163118362426758,0.20819009840488434,-0.7495495676994324,
104.0,0.02,2e-05,50.0,51.0,32.0,256.0,204.97259521484375,complete,17372842.0,347.4568176269531,408.35479736328125,1.695137858390808,0.028177965432405472,
104.0,0.02,2e-05,100.0,101.0,32.0,256.0,218.92007446289062,complete,1854925.875,37.098514556884766,225.15426635742188,0.1694614589214325,0.08570673316717148,
104.0,0.02,2e-05,150.0,151.0,32.0,256.0,239.44342041015625,complete,2584006.0,51.680118560791016,250.13519287109375,0.2158343642950058,0.10358542203903198,
104.0,0.02,2e-05,200.0,201.0,32.0,256.0,24.55303382873535,complete,28383.80078125,0.5676760077476501,24.922225952148438,0.023120401427149773,0.6436859965324402,
104.0,0.02,2e-05,250.0,251.0,32.0,256.0,7.841083526611328,complete,39103.01171875,0.7820602655410767,7.6417460441589355,0.09973879903554916,-0.30151697993278503,
105.0,0.02,2e-05,50.0,51.0,32.0,256.0,197.7091064453125,complete,27126250.0,542.5250244140625,587.83056640625,2.7440569400787354,0.05650871992111206,
105.0,0.02,2e-05,100.0,101.0,32.0,256.0,102.88468933105469,complete,4031081.25,80.62162017822266,118.26647186279297,0.7836114168167114,-0.18675406277179718,
105.0,0.02,2e-05,150.0,151.0,32.0,256.0,87.29865264892578,complete,286764.65625,5.735293388366699,87.44828796386719,0.06569738686084747,-0.006735499482601881,
105.0,0.02,2e-05,200.0,201.0,32.0,256.0,120.77208709716797,complete,48455.671875,0.9691134095191956,121.0728530883789,0.008024316281080246,0.306716650724411,
105.0,0.02,2e-05,250.0,251.0,32.0,256.0,14.764779090881348,complete,11911.5751953125,0.23823148012161255,14.824613571166992,0.016135120764374733,0.24360182881355286,
101.0,0.02,2e-06,50.0,51.0,32.0,256.0,70.67301177978516,complete,3316661.75,6.633323669433594,71.55390167236328,0.09385935962200165,0.08669549971818924,
101.0,0.02,2e-06,100.0,101.0,32.0,256.0,126.69221496582031,complete,11874.61328125,0.023749224841594696,126.68894958496094,0.00018745606939774007,-0.13781888782978058,
101.0,0.02,2e-06,150.0,151.0,32.0,256.0,131.62310791015625,complete,3641.850830078125,0.007283701561391354,131.61895751953125,5.5337561207124963e-05,-0.5701119899749756,
101.0,0.02,2e-06,200.0,201.0,32.0,256.0,14.808438301086426,complete,3086.041259765625,0.006172082852572203,14.808663368225098,0.0004167949955444783,0.03651100769639015,
101.0,0.02,2e-06,250.0,251.0,32.0,256.0,42.59727478027344,complete,10917.4013671875,0.021834803745150566,42.595794677734375,0.0005125868483446538,-0.06817890703678131,
102.0,0.02,2e-06,50.0,51.0,32.0,256.0,36.83918762207031,complete,1647555.25,3.2951102256774902,37.3159294128418,0.08944579213857651,0.10089525580406189,
102.0,0.02,2e-06,100.0,101.0,32.0,256.0,278.9510192871094,complete,368458.34375,0.7369166016578674,278.892578125,0.0026417418848723173,-0.08060796558856964,
102.0,0.02,2e-06,150.0,151.0,32.0,256.0,178.4866180419922,complete,152869.765625,0.30573955178260803,178.47805786132812,0.001712955068796873,-0.028876129537820816,
102.0,0.02,2e-06,200.0,201.0,32.0,256.0,23.27505111694336,complete,362326.5625,0.7246530652046204,23.388259887695312,0.03113432787358761,0.14103733003139496,
102.0,0.02,2e-06,250.0,251.0,32.0,256.0,22.4438533782959,complete,98030.1171875,0.19606022536754608,22.403650283813477,0.008735586889088154,-0.2092493623495102,
103.0,0.02,2e-06,50.0,51.0,32.0,256.0,184.4428253173828,complete,5592632.5,11.185264587402344,185.60552978515625,0.06064353138208389,0.07395505160093307,
103.0,0.02,2e-06,100.0,101.0,32.0,256.0,341.10821533203125,complete,32139.73046875,0.0642794594168663,341.1380310058594,0.00018844300939235836,0.4637411832809448,
103.0,0.02,2e-06,150.0,151.0,32.0,256.0,17.43446922302246,complete,18727.1484375,0.03745429962873459,17.461219787597656,0.002148290164768696,0.7136706709861755,
103.0,0.02,2e-06,200.0,201.0,32.0,256.0,14.769119262695312,complete,25461.474609375,0.050922948867082596,14.74930477142334,0.003447934053838253,-0.39058491587638855,
