method,beta,seed,update,mean_batch_return,return_rolling_10
reward_only,,103,78,30.1737,16.42662
reward_only,,103,79,26.21,16.386100000000003
reward_only,,103,80,25.61,17.67404
reward_only,,103,81,4.2457,17.44869
reward_only,,103,82,29.2855,19.36527
reward_only,,103,83,22.3111,20.67731
reward_only,,103,84,13.1619,20.04932
reward_only,,103,85,24.8835,20.55743
reward_only,,103,86,35.5903,22.80469
reward_only,,103,87,29.223,24.069470000000003
reward_only,,103,88,25.3947,23.59157
reward_only,,103,89,54.2784,26.398409999999995
reward_only,,103,90,44.9351,28.33092
reward_only,,103,91,44.5256,32.358909999999995
reward_only,,103,92,49.1768,34.34804
reward_only,,103,93,45.334,36.650330000000004
reward_only,,103,94,43.2725,39.66139
reward_only,,103,95,49.0379,42.076829999999994
reward_only,,103,96,40.0707,42.52486999999999
reward_only,,103,97,53.3107,44.933640000000004
reward_only,,103,98,36.8283,46.077
reward_only,,103,99,66.616,47.31076
reward_only,,103,100,43.4098,47.158229999999996
reward_only,,103,101,53.9171,48.09738
reward_only,,103,102,46.6643,47.84613
reward_only,,103,103,60.8446,49.39719
reward_only,,103,104,53.1097,50.38090999999999
reward_only,,103,105,57.5684,51.23396
reward_only,,103,106,66.6603,53.892920000000004
reward_only,,103,107,60.8373,54.64558000000001
reward_only,,103,108,58.4291,56.80566
reward_only,,103,109,63.4096,56.48502
reward_only,,103,110,83.6976,60.51379999999999
reward_only,,103,111,78.2699,62.94908
reward_only,,103,112,65.3003,64.81268
reward_only,,103,113,64.7844,65.20666
reward_only,,103,114,85.4365,68.43934
reward_only,,103,115,75.7761,70.26011000000001
reward_only,,103,116,76.4861,71.24269000000001
reward_only,,103,117,72.3611,72.39506999999999
reward_only,,103,118,80.652,74.61735999999999
reward_only,,103,119,84.0074,76.67714
reward_only,,103,120,85.6517,76.87255
reward_only,,103,121,79.8791,77.03347
reward_only,,103,122,79.0328,78.40672
reward_only,,103,123,86.6042,80.58869999999999
reward_only,,103,124,80.4545,80.09049999999999
reward_only,,103,125,83.9444,80.90732999999999
reward_only,,103,126,87.6962,82.02834
reward_only,,103,127,87.3035,83.52257999999999
reward_only,,103,128,85.0865,83.96603
reward_only,,103,129,84.3852,84.00381
reward_only,,103,130,87.8144,84.22007999999998
reward_only,,103,131,84.7863,84.71079999999999
reward_only,,103,132,88.6811,85.67563
reward_only,,103,133,84.2501,85.44022
reward_only,,103,134,88.5539,86.25016
reward_only,,103,135,85.2364,86.37936
reward_only,,103,136,87.7996,86.38969999999999
reward_only,,103,137,89.18,86.57735
reward_only,,103,138,87.7141,86.84011000000001
reward_only,,103,139,89.0924,87.31083
reward_only,,103,140,88.7091,87.4003
reward_only,,103,141,88.6133,87.783
reward_only,,103,142,88.5822,87.77311
reward_only,,103,143,88.574,88.2055
reward_only,,103,144,84.6609,87.8162
reward_only,,103,145,88.9669,88.18925
reward_only,,103,146,87.9176,88.20105
reward_only,,103,147,87.8327,88.06632
