method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
beta_5e-6,5e-06,105,250,4096,16,16,4.198543787529019e-10,4.198543787529019e-10,1638.0072504566,4.1985835040332063e-10,3901333030254.3994,12.591213024658995,1.550474939160958,2,90.72739438205593,2.148383064249401e-15,3.183231456205249e-12
beta_1e-5,1e-05,101,50,4096,16,15,9.558034120936288e-14,9.558034120936288e-14,195.96795063037402,9.16577951154898e-14,2138039109313641.5,15.330015645121478,2.0538724261658485,2,16.61965363724574,2.074695193161172e-15,3.410605131648481e-13
beta_1e-5,1e-05,101,100,4096,16,16,3.3345537719233965e-12,3.3345537719233965e-12,187.24527124156373,3.331053215131465e-12,56212032395938.11,13.749829287879384,2.1463030844248263,2,13.6429399623504,1.1837541860837174e-15,2.2737367544323206e-13
beta_1e-5,1e-05,101,150,4096,16,16,1.979845489481956e-09,1.979845489481956e-09,226.32106019712205,1.9798452339320473e-09,114312500956.26912,11.058093726453537,2.503872799639861,2,61.09056669274615,1.7084134942368237e-15,2.3393266490590037e-13
beta_1e-5,1e-05,101,200,4096,16,16,2.3350044091107345e-08,2.3350044091107345e-08,516.931365259627,2.3350043817919923e-08,22138346689.64987,10.345145184276554,2.10434966981652,2,85.42688355880969,1.6067320264484985e-15,6.821210263296962e-13
beta_1e-5,1e-05,101,250,4096,16,16,8.455721578910162e-08,8.455721578910162e-08,647.6244208529216,8.455721538355315e-08,7659008375.752262,9.88417254446072,1.9122865793431099,2,88.54400360496336,1.2987948833346159e-15,3.126388037344441e-13
beta_1e-5,1e-05,102,50,4096,16,15,1.0744984646505967e-13,1.0744984646505967e-13,193.09547271457157,1.0763987014321051e-13,1793902876858415.8,15.25379892634115,2.11197547731084,2,10.81376066435789,2.5349174112282192e-15,3.126388037344441e-13
beta_1e-5,1e-05,102,100,4096,16,15,1.0733903081091667e-14,3.3540184903966055e-14,151.05156423543906,1.0518385365246062e-14,1.4360717827902618e+16,16.157176148882986,2.064761111277798,2,33.30740696756432,1.0779401538066087e-15,1.7053025658242404e-13
beta_1e-5,1e-05,102,150,4096,16,16,9.807845062292235e-13,9.807845062292235e-13,163.43078694688268,9.807635404059564e-13,166636278994665.38,14.221769559207292,2.212249371423621,2,42.50971735067765,1.949273179214617e-15,2.568778523226456e-13
beta_1e-5,1e-05,102,200,4096,16,15,6.71343556861382e-14,6.71343556861382e-14,258.55198253863296,6.705633658470007e-14,3855742733754199.5,15.586108048820446,2.1532284159669075,2,61.481241480967824,1.9817557845763537e-15,4.547473508864641e-13
beta_1e-5,1e-05,102,250,4096,16,15,7.274706393580355e-13,7.274706393580355e-13,528.4194434786564,7.272777945719111e-13,726571672368594.1,14.861278461550604,1.8830071237702284,2,84.77460645065162,1.915916876638756e-15,7.958078640513122e-13
beta_1e-5,1e-05,103,50,4096,16,15,3.145489183289049e-14,7.363836089698253e-14,331.6376946958246,3.1220129645654316e-14,1.0622559818292974e+16,16.02622918538936,1.980818339938568,2,0.19914638749755204,1.057848713129819e-15,3.410605131648481e-13
beta_1e-5,1e-05,103,100,4096,16,16,2.305387002237157e-12,2.305387002237157e-12,353.0794240770846,2.3044447900929614e-12,153216699135083.66,14.185306101765173,1.962413254784043,2,13.156707890659924,1.0376620328198322e-15,1.9895196601282805e-13
beta_1e-5,1e-05,103,150,4096,16,15,4.36338166865219e-13,4.36338166865219e-13,292.1594465954174,4.366377242107871e-13,669111783970313.4,14.82549867846442,2.134062015848899,2,50.508205453809865,1.5241255311138379e-15,3.410605131648481e-13
beta_1e-5,1e-05,103,200,4096,16,16,1.8771013248363696e-11,1.8771013248363696e-11,737.4674305470759,1.877300204654825e-11,39283404365402.086,13.59420911743065,1.783975004189812,2,87.48913225597553,1.4624514732301754e-15,7.958078640513122e-13
beta_1e-5,1e-05,103,250,4096,16,16,2.1089695235810193e-11,2.1089695235810193e-11,975.9789508528527,2.1090952768013364e-11,46274768218770.4,13.665344252134588,1.6837956252437924,2,89.66825230194138,2.199641999392228e-15,9.094947017729282e-13
beta_1e-5,1e-05,104,50,4096,16,15,9.835597970063995e-15,4.581427456361774e-14,206.32914985295844,1.2003327984443945e-14,1.718932866954536e+16,16.235258915616356,2.0627757605111534,2,15.712369601763118,2.548397150203421e-15,5.968558980384842e-13
beta_1e-5,1e-05,104,100,4096,16,16,1.0568510174729744e-11,1.0568510174729744e-11,253.11526473438693,1.0569024596080766e-11,23948781879857.48,13.379283428551837,2.1149503472335867,2,21.25778295730099,1.2338153043056745e-15,1.7053025658242404e-13
beta_1e-5,1e-05,104,150,4096,16,16,1.7703615098049227e-09,1.7703615098049227e-09,412.76778090408027,1.7703614984922056e-09,233154517456.2536,11.367643834490561,2.1659873096575293,2,65.06700888311558,1.8439909092941025e-15,3.077763738312811e-13
beta_1e-5,1e-05,104,200,4096,16,16,4.562687283974233e-09,4.562687283974233e-09,819.374127074771,4.562686850574003e-09,179581495269.98352,11.254261583354802,1.8105887120041761,2,86.83388320901415,1.7272157697002215e-15,1.3642420526593924e-12
beta_1e-5,1e-05,104,250,4096,16,16,4.78666976012277e-09,4.78666976012277e-09,1087.1666059058578,4.786669690797026e-09,227123799245.23965,11.356262644300482,1.6672177011832454,2,88.9074016895769,1.83612405804332e-15,4.547473508864641e-13
beta_1e-5,1e-05,105,50,4096,16,11,-1.0692342505916696e-13,1.2872171351743731e-13,579.7110610316224,1.7942167638019774e-15,3.2309979079852326e+17,17.509336676819636,1.769591452076958,2,0.024896516781650835,1.2056816842698443e-15,5.684341886080801e-13
beta_1e-5,1e-05,105,100,4096,16,12,1.1550311101870195e-15,7.390046049049297e-14,332.8180863274922,1.3773992395122664e-15,2.4162790045197226e+17,17.38314708025017,1.9509208844080264,2,10.868970469304497,1.9166436022437978e-15,3.126388037344441e-13
beta_1e-5,1e-05,105,150,4096,16,15,7.224893339499021e-13,7.224893339499021e-13,353.14532460865144,7.219919993140492e-13,489126368358884.94,14.689421075873994,2.020901265053656,2,26.723922307424374,1.9918273720388334e-15,4.263256414560601e-13
beta_1e-5,1e-05,105,200,4096,16,16,2.431723175467931e-10,2.431723175467931e-10,619.9885902341301,2.431743578718898e-10,2549564006912.093,12.406465919421668,1.8998037068793148,2,73.04919726738008,1.4326595236966505e-15,4.64184246595778e-13
beta_1e-5,1e-05,105,250,4096,16,16,7.066735987612335e-09,7.066735987612335e-09,972.6790441154571,7.06670747675648e-09,137642466072.7436,11.138752445060417,1.7688685037583298,2,90.60867228928845,1.5375593820922974e-15,8.455458555545192e-13
beta_2e-5,2e-05,101,50,4096,16,14,5.982052538082555e-14,5.982052538082555e-14,250.95995499087425,5.878977136431112e-14,4268769025069243.5,15.630302656595546,2.018469580911038,2,12.517627501077332,1.3192710530961332e-15,1.1368683772161603e-13
beta_2e-5,2e-05,101,100,4096,16,14,5.117931027372213e-14,5.117931027372213e-14,165.19280046782683,5.2279452724805024e-14,3159803552982639.0,15.499660083090669,2.0191953169282577,2,25.27909918201099,1.6226436835236251e-15,3.410605131648481e-13
beta_2e-5,2e-05,101,150,4096,16,16,5.235109978767067e-10,5.235109978767067e-10,155.63201870919613,5.235108456710201e-10,297285185199.3854,11.47317326727265,1.9272821737590704,2,34.25983233787717,2.3492612014653348e-15,3.410605131648481e-13
beta_2e-5,2e-05,101,200,4096,16,16,1.201598609784825e-09,1.201598609784825e-09,142.33687462867059,1.2015985818836972e-09,118456260497.1909,11.07355801843603,2.1918964345859204,2,49.308318775935675,8.153012888280966e-16,1.4210854715202004e-13
beta_2e-5,2e-05,101,250,4096,16,16,3.365822905237366e-08,3.365822905237366e-08,203.50416538578617,3.365822997395226e-08,6046193324.5829,9.781482029453983,2.3454540287068886,2,77.60303722826457,1.709413986893538e-15,2.2737367544323206e-13
beta_2e-5,2e-05,102,50,4096,16,15,1.6819913610516706e-13,1.6819913610516706e-13,309.4739330422028,1.6777960586747983e-13,1844526523006853.8,15.265884904459924,2.114138383512516,2,16.260963153011605,1.0325660109693675e-15,1.7053025658242404e-13
beta_2e-5,2e-05,102,100,4096,16,16,1.3073819253336936e-12,1.3073819253336936e-12,273.87302208430094,1.3082473457944886e-12,209343457079960.53,14.320859391792935,2.1931064566502716,2,32.014254107950364,1.5441153676801042e-15,2.5579538487363607e-13
beta_2e-5,2e-05,102,150,4096,16,16,2.654906996724546e-11,2.654906996724546e-11,415.8610852084062,2.654539690265351e-11,15666033803654.906,13.194959059314016,2.0971670997035416,2,54.28507205631604,1.5132647033795716e-15,2.8421709430404007e-13
beta_2e-5,2e-05,102,200,4096,16,16,1.7336192726489034e-10,1.7336192726489034e-10,1035.9706723840059,1.7336342943619913e-10,5975716307373.012,12.776389971493593,1.665742535841002,2,86.78179680454565,1.9404075841752636e-15,6.145817361968842e-13
beta_2e-5,2e-05,102,250,4096,16,16,1.5236716392481497e-10,1.5236716392481497e-10,1442.430187545919,1.523734204632366e-10,9466416013768.857,12.976185586178268,1.5434852604646807,2,89.78471297183036,2.1119517162665442e-15,2.5011104298755527e-12
beta_2e-5,2e-05,103,50,4096,16,13,-1.0069491216279527e-13,1.2434047300510178e-13,559.9797078928476,2.6464943444158128e-14,2.1159301136404172e+16,16.32550131943047,1.812137082214367,2,-1.6380711199932387,2.1467771342049476e-15,1.3642420526593924e-12
