target_gradient_ratio,achieved_fisher_gradient_ratio,effective_fisher_beta,elapsed_seconds,fisher_gradient_norm,fisher_loss,fisher_rank,fisher_surrogate,gradient_cosine,gradient_norm,lambda_max,lambda_min,logdet,parameter_count,return,return_std,reward_gradient_norm,reward_loss,target_fisher_gradient_ratio,total_loss,unscaled_fisher_gradient_norm,update
0.2,0.20000000722895817,0.00012903753623529646,400.38028060400393,2.6384835243225098,0.09040418495518444,16,-700.6037746282977,0.8206958174705505,15.431623458862305,1050.773802950851,3.9877284907506313e-08,-67.59566550417003,16,89.8035687799844,1.956925963787238,13.19241714477539,-1.0758156776428223,0.2,-0.9854114926876378,20447.41015625,212
0.2,0.20000000450503577,0.00030300282075059875,401.57092131103855,2.1169073581695557,0.27108936471124856,16,-894.6760430800804,-0.6483591198921204,9.351941108703613,1037.262766613861,3.444697143811062e-08,-68.0697078628217,16,89.4830573923389,2.246184376448354,10.5845365524292,-1.298250675201416,0.2,-1.0271613104901673,6986.427734375,213
0.2,0.1999999831794081,0.0009255139356002683,402.77536430896726,5.66968297958374,0.6875373495826683,16,-742.8708776132544,0.8965581059455872,33.52580261230469,1294.5618389387716,4.2304500295573894e-08,-66.92624895736823,16,90.59049302149614,2.0332728559498388,28.348417282104492,-0.4257941246032715,0.2,0.26174322497939684,6125.98388671875,214
0.2,0.20000001135085546,0.00016822496940486288,404.09693267499097,2.5205352306365967,0.11874460672821498,16,-705.8679050339742,0.6050940155982971,14.269644737243652,1201.8207534069393,3.562583716487918e-08,-67.06098309459978,16,89.79141228436126,2.386076517188536,12.602675437927246,-3.73561429977417,0.2,-3.6168696930459547,14983.12109375,215
0.2,0.2,0.0002320007046827752,405.45280963694677,1.1827983856201172,0.18231719728827347,16,-785.8476013577797,-0.24758197367191315,5.736776828765869,1121.3179747094555,3.731832249863417e-08,-66.90222650280232,16,89.84710416777865,2.3154770537376583,5.913991928100586,-1.9489753246307373,0.2,-1.7666581273424637,5098.25341796875,216
0.2,0.20000000828656123,0.0019236315307412455,406.6620368430158,6.905211925506592,2.18717583098991,16,-1137.003524862743,-0.4421292841434479,32.07670211791992,1098.4491693128707,3.327172896366749e-08,-68.30929628138821,16,89.77948070249317,2.3572872221142473,34.526058197021484,-3.684525489807129,0.2,-1.4973496588172188,3589.6748046875,217
0.2,0.2,0.0010205222055961428,407.96680081204977,6.368858337402344,0.6671990749973333,16,-653.7820258478216,0.8431054949760437,37.371177673339844,1068.7678304744738,3.599365819785716e-08,-67.10083881400895,16,90.48320847238956,2.0069165283251045,31.84429168701172,3.0630433559417725,0.2,3.730242430939106,6240.78369140625,218
0.2,0.2,0.0006905459102633083,409.3321573799476,4.06024169921875,0.3960955538542246,16,-573.597711560107,0.6059130430221558,22.98940658569336,1160.7832675959776,3.441074095812096e-08,-66.5437873002815,16,89.58948741873922,2.1425720111242907,20.30120849609375,-3.7809641361236572,0.2,-3.3848685822694327,5879.75634765625,219
0.2,0.199999970890807,0.00018781632237843609,410.5630208379589,2.293337106704712,0.2117704388437122,16,-1127.5401209113782,0.5780607461929321,12.928525924682617,1279.162312583885,3.9297010887551074e-08,-66.83159506341593,16,89.46695984433637,2.662060408429637,11.466687202453613,-4.092419624328613,0.2,-3.8806491854849012,12210.533203125,220
0.2,0.20000003419951295,6.178610552081356e-05,411.8290050870273,2.230849266052246,0.04865845593157669,16,-787.5307161929047,-0.5698047280311584,10.051689147949219,1145.197289073092,2.5990220616962365e-08,-67.14232006011275,16,90.00041980728983,2.935627122143142,11.154244422912598,-3.2426376342773438,0.2,-3.193979178345767,36105.99609375,221
0.2,0.20000002017775798,5.427881815922485e-05,413.034420807031,2.8358187675476074,0.06660140207856562,16,-1227.023806656824,-0.8362445831298828,11.909611701965332,1187.0562867872407,2.5639733646424888e-08,-68.52553802467769,16,90.04777691555915,2.42336322107982,14.179092407226562,-1.439774990081787,0.2,-1.3731735880032214,52245.3984375,222
0.2,0.2,0.00011674914912069962,414.43882573896553,2.3619565963745117,0.08805864912124695,16,-754.2551683199732,-0.03477614000439644,11.962846755981445,1326.0226432515465,3.516825175186552e-08,-66.39156578319471,16,90.36246564019102,2.5220039745818297,11.809782981872559,4.032336235046387,0.2,4.120394884167633,20231.0390625,223
0.2,0.1999999924409485,0.001480722200457342,415.7454437520355,5.0465288162231445,1.4046361390917672,16,-948.615573304652,0.2688175439834595,27.02988624572754,1145.749343563667,2.5157503037504528e-08,-67.40678962389377,16,90.32973031659348,2.3877694360385036,25.23264503479004,-0.6031055450439453,0.2,0.8015305940478219,3408.15380859375,224
0.2,0.19999999639405455,0.0009447917732334853,417.08156415994745,2.6447274684906006,0.6250519972541293,16,-661.5764605093158,-0.40213707089424133,12.398844718933105,1200.7807741501265,3.016710956182626e-08,-67.03065330406093,16,90.47363874470685,2.3527557062193933,13.223637580871582,-3.8883893489837646,0.2,-3.2633373517296356,2799.270263671875,225
0.2,0.20000001243210208,0.00039769659708348564,418.39527722704224,2.301318883895874,0.2494096039891765,16,-627.135373594408,0.5213768482208252,12.857301712036133,1200.239497144991,2.9293610409579465e-08,-66.09249398123407,16,90.79723586361217,2.187124690135073,11.506593704223633,-1.5272276401519775,0.2,-1.277818036162801,5786.619140625,226
0.2,0.2000000133439397,0.00016198511082621427,419.7263123689918,2.144061803817749,0.11865844054967868,16,-732.5268349939977,0.33463919162750244,11.614877700805664,1044.9602695028575,2.7149714465764184e-08,-65.77672950700168,16,90.87843740870991,2.007698632084269,10.720308303833008,0.7183718681335449,0.2,0.8370303086832236,13236.1650390625,227
