experiment,label,method,alpha,beta,updates,run,finite,final_return,final_q,final_p_good,final_min_pi0,final_min_pi1,final_lambda_min_f_pool,final_logdet_f_pool
basin,basin,detached_conditional,0.05,0.1,2000,10,1,0.7832038585042865,0.8156813179677931,0.8775284714320859,0.06698516575563596,0.05365772171798112,0.010855927017478256,-13.575183309878934
basin,basin,detached_conditional,0.05,0.1,2000,11,1,0.7911887303259563,0.822777357122268,0.8816114153685229,0.06437025111661293,0.0570787711788328,0.010284469275991744,-13.692574896159027
basin,basin,detached_conditional,0.05,0.1,2000,12,1,0.7939364457385737,0.8246498253181982,0.8831071327718375,0.06374947860118628,0.05697679972095065,0.00989819735993557,-13.733794389630592
basin,basin,detached_conditional,0.05,0.1,2000,13,1,0.796019211362036,0.8257989715015353,0.8843937504951883,0.06351101245334852,0.05298354025536763,0.009481463096204696,-13.771100234972948
basin,basin,detached_conditional,0.05,0.1,2000,14,1,0.3714379101597589,0.18362932513271402,0.10848540701768976,0.14417994733251854,0.10848540701768976,0.012990651639492458,-11.933225893093347
basin,basin,detached_conditional,0.05,0.1,2000,15,1,0.4661331127537044,0.36685288695479884,0.5690737038253428,0.1423854011409431,0.16336147389600683,0.022357622333853418,-10.613369855975646
basin,basin,detached_conditional,0.05,0.1,2000,16,1,0.741725637762045,0.7704932809606257,0.8542635436736917,0.07951177975136563,0.05531422374780358,0.012576115447150753,-12.95171547576349
basin,basin,detached_conditional,0.05,0.1,2000,17,1,0.7878871880447104,0.8197633414013599,0.8797704107037704,0.06472194584257115,0.054444372365122264,0.010618052376332338,-13.647087146310437
basin,basin,detached_conditional,0.05,0.1,2000,18,1,0.7928620328526617,0.8237683223256717,0.8823072556984989,0.0631965536487488,0.057829991631951086,0.010156220990517544,-13.71794297360767
basin,basin,detached_conditional,0.05,0.1,2000,19,1,0.7948177284314014,0.8249930789796953,0.8834285038048925,0.06292422440915271,0.056243846381897444,0.009823383122416193,-13.747756304029815
