seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,barrier_active,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
403,logbarrier_handoff_h25,300,1161503,-229.40625,-315.25,315.71875,1.0360078811645508,0.22126080095767975,0.13729871809482574,258.5674743652344,0.2536972761154175,0.0,False,62,1.7515696322775745,1.1236887284516651e-10,1.0476309657334792,2.312124975765726,-945.2352275036272,9323142069.574854,146,2.074196685228943,4.0329382543532633e-10,0.6895801446750455,5.889064809780112,-1784.479898183844,1709870325.7623494
403,logbarrier_handoff_h25,350,1224532,-121.65625,-268.46875,269.03125,0.7326940298080444,0.0904041975736618,0.029966678470373154,139.0137481689453,0.85875004529953,0.0,False,68,3.359327640677753,2.542318919537669e-10,2.4177573479838217,2.2901528322680678,-983.4307785924271,9510047419.320234,146,2.837555784970728,6.43153320798493e-10,1.0221554964100736,6.413348192495049,-1723.3656624710065,1589287442.597729
403,logbarrier_handoff_h25,400,1270638,-99.78125,-181.71875,182.5,0.6050130128860474,0.06409820169210434,0.016179386526346207,61.733367919921875,1.1330935955047607,0.0,False,71,4.117311142110125,3.710344014613398e-10,3.0671405564888308,2.3201698821216774,-1000.809990726144,8266458701.426946,146,2.9211076107491034,4.217161952012709e-10,1.1547556564397732,6.345469536160598,-1734.8848991748855,2738229334.2769237
403,logbarrier_handoff_h25,450,1312548,-99.65625,-276.96875,277.53125,0.553589940071106,0.05540364980697632,0.01163029856979847,123.69081115722656,1.1621956825256348,0.0,False,64,3.2974330745598657,2.54042546117976e-10,2.481276800899159,2.1603638305030253,-926.8082637405046,9767170258.744246,146,2.9570059660768013,3.743153143369075e-10,1.2182914931761695,6.287645116480266,-1739.4252446172463,3254719875.232329
403,logbarrier_handoff_h25,500,1354316,-105.3125,-190.0625,190.8125,0.46575766801834106,0.040078066289424896,0.007642258889973164,74.8147964477539,1.2176278829574585,0.0,False,72,3.9876730127410114,3.260797529613043e-10,3.069384303448991,2.212335844115197,-1013.2883287216033,9412986472.095472,146,2.981654854445833,2.918861933112799e-10,1.317985074991416,6.087966510095281,-1748.9228178952774,4515407392.311498
403,logbarrier_handoff_h25,550,1393854,-95.96875,-167.25,168.0625,0.4393903911113739,0.03863891586661339,0.006003090180456638,99.73384094238281,1.3081679344177246,0.0,False,70,3.844794733307235,3.42718431794861e-10,2.9911490685727777,2.1280414484309587,-1012.333645736477,8727715789.628649,146,2.9806890005138547,2.535380090011295e-10,1.3618286608538333,5.978381269220293,-1754.379946326177,5371299815.0418005
403,logbarrier_handoff_h25,600,1433524,-99.6875,-142.8125,143.71875,0.4023338258266449,0.033518776297569275,0.004756146110594273,66.92835235595703,1.3330477476119995,0.0,False,74,4.749850071698554,4.815069717319581e-10,3.8130566625679823,2.0850071462122166,-1038.2678254081125,7919006133.7068405,146,3.131010304774099,2.1901513843670355e-10,1.5220973549693948,5.6945044077043265,-1768.5920196919199,6949735830.289597
403,logbarrier_handoff_h25,650,1471856,-101.4375,-89.84375,90.84375,0.4026350677013397,0.03458094596862793,0.004792714957147837,82.81271362304688,1.3404309749603271,0.0,False,82,5.315103072303281,4.5685701787490386e-10,4.254974986713667,2.1441630461132597,-1155.1341548217317,9313581318.080486,146,3.2772915291530156,2.4402022969991443e-10,1.6414666294366274,5.575904653266857,-1760.788253584225,6726764545.11674
403,logbarrier_handoff_h25,700,1509938,-93.28125,-80.9375,81.9375,0.3592211604118347,0.03084919974207878,0.003338978858664632,112.73501586914062,1.4013317823410034,0.0,False,79,6.267359938743257,5.332808929760041e-10,5.264478432796171,1.9183067211086642,-1103.7944440663487,9871867719.500416,146,3.397786889022867,2.207928224458691e-10,1.7873180339603532,5.282200095288451,-1766.4435128772955,8095000617.14435
403,logbarrier_handoff_h25,750,1547841,-88.21875,-107.375,108.34375,0.34590694308280945,0.031060533598065376,0.0027608894743025303,108.89952850341797,1.4237581491470337,0.0,False,74,6.607262347376707,6.222342124337426e-10,5.623151421428051,1.8525739618159676,-1008.8078289018085,9037033498.10072,146,3.3440727250561433,2.0790227309997174e-10,1.7830878364489728,5.18362437268091,-1772.5054666057217,8576567297.037481
