run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1083,True,0.003,-89.53125,-92.15625,1.0,-177.656390625,1428888,1000,8000,-281.0142394273554,False
reward_only,gpomdp_reward_only,1084,True,0.003,-89.8125,-138.75,1.0,-179.66875,1446484,1000,8000,-314.31098612437125,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1084,True,0.003,-83.4375,-84.625,1.0,-167.96278125,1366604,1000,8000,-262.91155286891814,False
reward_only,gpomdp_reward_only,1085,True,0.003,-86.3125,-81.125,1.0,-107.2296875,848594,1000,8000,-131.92789243516333,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1085,True,0.003,-79.28125,-79.84375,1.0,-150.613234375,1215700,1000,8000,-218.27274490776918,False
reward_only,gpomdp_reward_only,1086,True,0.003,-89.71875,-88.5,1.0,-105.8828125,845082,1000,8000,-119.67296354081616,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1086,True,0.003,-87.625,-95.0625,1.0,-145.4123125,1144047,1000,8000,-180.85547739188164,False
reward_only,gpomdp_reward_only,1087,True,0.003,-85.21875,-81.75,1.0,-213.88359375,1709214,1000,8000,-353.7244074798416,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1087,True,0.003,-84.1875,-89.15625,1.0,-160.784125,1297215,1000,8000,-252.30304362374395,False
reward_only,gpomdp_reward_only,1088,True,0.003,-90.65625,-83.71875,1.0,-113.3796875,933093,1000,8000,-155.4289555676658,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1088,True,0.003,-93.28125,-84.09375,1.0,-144.02915625,1178719,1000,8000,-191.4122144861286,False
reward_only,gpomdp_reward_only,1089,True,0.003,-84.875,-82.53125,1.0,-155.93515625,1261539,1000,8000,-269.9592526717367,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1089,True,0.003,-88.78125,-82.4375,1.0,-196.940609375,1605806,1000,8000,-336.5263155231703,False
reward_only,gpomdp_reward_only,1090,True,0.003,-87.625,-94.75,1.0,-118.7046875,963394,1000,8000,-172.62814041101043,False
