seed,reward_only_failure,reward_only_final_stochastic_return,reward_only_final_stochastic_termination_rate,reward_only_environment_step_return_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_final_stochastic_return,logbarrier_handoff_h25_final_stochastic_termination_rate,logbarrier_handoff_h25_environment_step_return_auc,discordant
1168,False,-88.65625,1.0,-375.8232096351334,False,-84.0625,1.0,-358.179632391743,False
1169,True,-500.0,0.0,-500.0,False,-92.0625,1.0,-227.13431096813875,True
1170,True,-500.0,0.0,-499.1097810106674,False,-81.09375,1.0,-291.0325346636892,True
1171,True,-500.0,0.0,-500.0,False,-83.5,1.0,-330.48573572998856,True
1172,False,-86.125,1.0,-304.02838959493545,False,-83.96875,1.0,-278.55783605972,False
1173,False,-92.84375,1.0,-139.86747589170287,False,-82.3125,1.0,-189.93422245191746,False
1174,False,-87.75,1.0,-353.86024671468545,False,-86.03125,1.0,-280.0395223174188,False
1175,False,-81.375,1.0,-267.8751944572657,False,-87.65625,1.0,-355.0288708949083,False
1176,False,-85.28125,1.0,-120.97926004451597,False,-85.96875,1.0,-185.0221135578612,False
1177,True,-500.0,0.0,-500.0,False,-93.6875,1.0,-359.0469129902955,True
1178,False,-86.90625,1.0,-423.0320347229935,False,-85.71875,1.0,-351.9386734287076,False
1179,False,-93.90625,1.0,-292.20013940074995,False,-86.4375,1.0,-259.60149867213613,False
1180,False,-93.15625,0.96875,-264.8038421193317,False,-84.28125,1.0,-267.4127677955385,False
1181,False,-78.5625,1.0,-150.5835910566018,False,-96.0625,1.0,-201.55099929699497,False
1182,False,-86.21875,1.0,-136.43526632551234,False,-83.53125,1.0,-189.23364439046725,False
1183,True,-500.0,0.0,-500.0,False,-91.0625,1.0,-316.6560960319186,True
1184,False,-89.4375,1.0,-157.48070615765985,False,-90.25,1.0,-211.05392014471693,False
1185,False,-84.78125,1.0,-371.0942854118517,False,-85.46875,1.0,-391.84139214965313,False
1186,False,-83.40625,1.0,-149.6104885802279,False,-82.375,1.0,-193.01400848573158,False
1187,False,-85.25,1.0,-157.54956378510025,False,-80.0625,1.0,-224.20577029014441,False
1188,False,-98.6875,0.96875,-138.07038924200802,False,-104.0625,1.0,-222.20608042920588,False
1189,False,-90.1875,1.0,-146.25543017853317,True,-500.0,0.0,-500.0,True
1190,False,-87.0625,1.0,-169.92446994664363,False,-96.40625,1.0,-221.38129432009268,False
1191,False,-97.5,1.0,-178.50520154422705,False,-92.125,1.0,-185.61477431944903,False
1192,False,-90.5,1.0,-394.3080996015759,False,-87.1875,1.0,-201.80346954085405,False
1193,False,-84.34375,1.0,-123.03423294271143,False,-87.625,1.0,-185.84953451812123,False
1194,False,-83.125,1.0,-132.33609464158735,False,-86.3125,1.0,-190.24925836585967,False
1195,False,-89.34375,1.0,-145.55312394550361,False,-85.5625,1.0,-205.37696455439144,False
1196,True,-500.0,0.0,-500.0,False,-96.625,0.96875,-381.4934619082207,True
1197,False,-93.3125,1.0,-201.3921049169463,False,-82.40625,1.0,-306.84477782964416,False
1198,False,-85.75,1.0,-408.01348177370744,False,-83.9375,1.0,-341.0914652168738,False
1199,False,-87.8125,1.0,-261.66071044312747,False,-87.90625,1.0,-352.9558435683357,False
1200,False,-83.9375,1.0,-138.8737816497128,False,-90.25,1.0,-190.78413717824424,False
