experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,detached_conditional_oracle,adverse,4,0.01,pi1_a0,0.00040226755043123693,0.00031393462476794596,0.0004906004760945278,100
main,complete_weighted_oracle,adverse,4,0.01,population_return,-0.013599485224107744,-0.013655975168836872,-0.013542995279378616,100
main,complete_weighted_oracle,adverse,4,0.01,q,0.008465796927492825,0.008411417526337176,0.008520176328648474,100
main,complete_weighted_oracle,adverse,4,0.01,pi1_a0,0.0004053515134227949,0.00031818226497652116,0.0004925207618690687,100
main,uniform_action_oracle,adverse,4,0.01,population_return,-0.005965547950300649,-0.006001967778793893,-0.005929128121807405,100
main,uniform_action_oracle,adverse,4,0.01,q,0.0029189948123896957,0.0028920501852015023,0.002945939439577889,100
main,uniform_action_oracle,adverse,4,0.01,pi1_a0,0.02882594595024076,0.028636747200591017,0.029015144699890503,100
main,visitation_only_oracle,adverse,4,0.01,population_return,-0.006490744837339578,-0.006535363350016018,-0.006446126324663139,100
main,visitation_only_oracle,adverse,4,0.01,q,0.005510236417067233,0.005465767990830163,0.005554704843304303,100
main,visitation_only_oracle,adverse,4,0.01,pi1_a0,3.138643462614896e-05,-5.178385991701357e-05,0.0001145567291693115,100
main,full_pooled_fisher_oracle,adverse,4,0.01,population_return,-0.014332806289727154,-0.014411066433133226,-0.014254546146321082,100
main,full_pooled_fisher_oracle,adverse,4,0.01,q,0.013238172268460979,0.013136094272741627,0.01334025026418033,100
main,full_pooled_fisher_oracle,adverse,4,0.01,pi1_a0,0.029363963355959713,0.029085827101563728,0.029642099610355698,100
main,detached_conditional_sampled,adverse,4,0.01,population_return,-0.01351732264795894,-0.013571570479036567,-0.013463074816881313,100
main,detached_conditional_sampled,adverse,4,0.01,q,0.008361768934259028,0.008309098347800274,0.008414439520717782,100
main,detached_conditional_sampled,adverse,4,0.01,pi1_a0,0.00033457982050510396,0.0002484631626209705,0.00042069647838923743,100
main,detached_conditional_oracle,adverse,4,0.1,population_return,-0.08576109667103196,-0.08837292395251944,-0.08314926938954448,100
main,detached_conditional_oracle,adverse,4,0.1,q,0.2556071848144679,0.24885841696227745,0.2623559526666584,100
main,detached_conditional_oracle,adverse,4,0.1,pi1_a0,0.3084366189448554,0.29509313555923394,0.3217801023304769,100
