configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,expected_reward,0.8171075467750428,0.7986934978679094,0.8355215956821762
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,expected_pseudo_regret,0.1828924532249571,0.1644784043178237,0.20130650213209048
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,cumulative_pseudo_regret,9365.745777371301,8986.509569590753,9744.98198515185
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,minimum_probability,2.3482611817472783e-07,2.0782383146947332e-07,2.6182840487998236e-07
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,normalized_log_fisher_volume,-7.264977410385098,-7.354412528939281,-7.175542291830916
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,entropy,0.014200117567535746,0.01215583518631165,0.01624439994875984
K1000_alpha0p1,entropy_sgb,100,100,0.0,0.94,0.94,numerically_collapsed,0.0,0.0,0.0
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,optimal_arm_probability,0.010000000000000453,-0.009842169349612632,0.029842169349613538
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,expected_reward,0.38638131715609625,0.31502797691574064,0.45773465739645186
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,expected_pseudo_regret,0.6136186828439038,0.5422653426035482,0.6849720230842593
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,cumulative_pseudo_regret,16362.392905157154,14545.36350382784,18179.422306486467
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,minimum_probability,8.76823269980859e-18,-8.629843112833141e-18,2.6166308512450322e-17
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,normalized_log_fisher_volume,-5501.382026464192,-9136.216329319219,-1866.5477236091651
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,entropy,1.4669085259699322e-11,-1.3818042635204702e-11,4.3156213154603347e-11
K1000_alpha0p1,npg,100,100,0.0,0.99,0.99,numerically_collapsed,1.0,1.0,1.0
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,optimal_arm_probability,0.126702151889198,0.07340282214810051,0.1800014816302955
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,expected_reward,0.6722342168228864,0.6546352920589114,0.6898331415868615
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,expected_pseudo_regret,0.32776578317711363,0.31016685841313857,0.3453647079410887
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,cumulative_pseudo_regret,12974.752468173472,12735.416951631752,13214.087984715192
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,minimum_probability,7.525035112004871e-05,7.059192839143913e-05,7.99087738486583e-05
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,normalized_log_fisher_volume,-1.3108963687836745,-1.3721843413483252,-1.2496083962190239
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,entropy,3.158196972154394,2.977597173360352,3.338796770948436
K1000_alpha0p1,lb_sgb,100,100,0.0,0.82,0.84,numerically_collapsed,0.0,0.0,0.0
