Update 0171/1200 | return 28.5848 | logdet -229.92 | lambda_min 5.940e-08 | 10.1s
Update 0172/1200 | return 28.7083 | logdet -238.33 | lambda_min 7.947e-08 | 10.0s
Update 0173/1200 | return 28.2574 | logdet -232.19 | lambda_min 1.289e-07 | 10.2s
Update 0174/1200 | return 28.6414 | logdet -239.02 | lambda_min 6.254e-08 | 10.4s
Update 0175/1200 | return 28.5126 | logdet -234.74 | lambda_min 1.153e-07 | 10.7s
Update 0176/1200 | return 28.1384 | logdet -236.60 | lambda_min 6.958e-08 | 10.1s
Update 0177/1200 | return 28.6245 | logdet -234.48 | lambda_min 1.336e-07 | 10.3s
Update 0178/1200 | return 28.7344 | logdet -236.45 | lambda_min 1.109e-07 | 10.1s
Update 0179/1200 | return 28.8094 | logdet -242.93 | lambda_min 7.347e-08 | 10.2s
Update 0180/1200 | return 28.7780 | logdet -235.18 | lambda_min 9.527e-08 | 10.3s
Update 0181/1200 | return 28.7451 | logdet -236.29 | lambda_min 6.919e-08 | 10.4s
Update 0182/1200 | return 28.5499 | logdet -244.31 | lambda_min 5.239e-08 | 10.0s
Update 0183/1200 | return 29.0039 | logdet -228.01 | lambda_min 6.943e-08 | 10.6s
Update 0184/1200 | return 28.1037 | logdet -231.23 | lambda_min 6.908e-08 | 10.1s
Update 0185/1200 | return 28.8224 | logdet -235.51 | lambda_min 9.768e-08 | 10.0s
Update 0186/1200 | return 28.7935 | logdet -238.46 | lambda_min 8.216e-08 | 10.3s
Update 0187/1200 | return 28.7739 | logdet -236.81 | lambda_min 8.893e-08 | 10.1s
Update 0188/1200 | return 29.1046 | logdet -229.94 | lambda_min 5.293e-08 | 10.3s
Update 0189/1200 | return 28.4162 | logdet -235.02 | lambda_min 5.982e-08 | 10.1s
Update 0190/1200 | return 28.7091 | logdet -232.87 | lambda_min 7.458e-08 | 10.3s
Update 0191/1200 | return 28.5388 | logdet -230.84 | lambda_min 1.043e-07 | 10.2s
Update 0192/1200 | return 28.6345 | logdet -238.15 | lambda_min 1.650e-07 | 10.2s
Update 0193/1200 | return 28.4174 | logdet -228.62 | lambda_min 1.166e-07 | 10.3s
Update 0194/1200 | return 28.7968 | logdet -240.18 | lambda_min 6.020e-08 | 9.9s
Update 0195/1200 | return 28.5412 | logdet -235.28 | lambda_min 9.268e-08 | 10.3s
Update 0196/1200 | return 28.6593 | logdet -238.01 | lambda_min 3.738e-08 | 10.5s
Update 0197/1200 | return 29.0608 | logdet -229.00 | lambda_min 8.727e-08 | 11.2s
Update 0198/1200 | return 28.5817 | logdet -234.76 | lambda_min 1.256e-07 | 10.4s
Update 0199/1200 | return 28.4928 | logdet -235.73 | lambda_min 1.282e-07 | 10.2s
Update 0200/1200 | return 28.7901 | logdet -236.27 | lambda_min 7.337e-08 | 10.2s
Update 0201/1200 | return 28.9193 | logdet -231.02 | lambda_min 9.157e-08 | 9.9s
Update 0202/1200 | return 28.6162 | logdet -229.95 | lambda_min 8.017e-08 | 10.1s
Update 0203/1200 | return 28.8181 | logdet -227.48 | lambda_min 1.426e-07 | 10.1s
