seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,beta,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
512,logbarrier_handoff_h25,650,1320652,-89.34375,-87.25,88.25,0.3801829516887665,0.033170416951179504,0.002292795805260539,99.7607650756836,1.4471018314361572,0.0,0.0,86,5.648196486373302,4.599629031566817e-10,4.5949899007171995,2.06886900723841,-1197.6966081302464,9989914119.556643,146,2.69720004840341,2.3111431518398067e-10,1.294850874883438,5.605635828818095,-1774.5174131753208,5602642457.922436
512,logbarrier_handoff_h25,700,1357639,-89.625,-79.90625,80.90625,0.3621605634689331,0.030020717531442642,0.002033938653767109,113.43316650390625,1.5071892738342285,0.0,0.0,90,4.611279971268154,3.665942589446596e-10,3.5479961100091884,2.32509617344132,-1281.3618264941538,9678264248.390173,146,2.625240787068093,1.9983188150645378e-10,1.2550217601905214,5.641811533443091,-1787.831828065244,6280388047.84005
512,logbarrier_handoff_h25,750,1395569,-95.28125,-84.375,85.375,0.36649081110954285,0.031056173145771027,0.0020845963153988123,67.95677185058594,1.4845547676086426,0.0,0.0,91,5.2888626779166,4.259038414474668e-10,4.1927571677884385,2.2180320989054514,-1279.9124110438718,9844375090.722433,146,2.671137440368989,2.115726193966215e-10,1.292655582641621,5.5363405465703925,-1781.833904554299,6109748918.967456
512,logbarrier_handoff_h25,800,1433682,-86.28125,-84.59375,85.59375,0.3745575249195099,0.03365462273359299,0.001987389288842678,92.29483032226562,1.5147372484207153,0.0,0.0,90,5.478296043008327,4.799001037070776e-10,4.426173089769477,2.1306508830321422,-1257.7854604271192,9223113426.270758,146,2.6674860595638057,2.3555233204741374e-10,1.3179503653938138,5.44245668802848,-1778.022224568856,5595148873.875411
512,logbarrier_handoff_h25,850,1470069,-95.5625,-85.40625,86.40625,0.3568268418312073,0.03030196949839592,0.0019428117666393518,116.8391342163086,1.4858102798461914,0.0,0.0,89,5.946327033103417,5.542458028990945e-10,4.905216901237298,2.02245371468675,-1240.6666705676441,8850255384.12663,146,2.638498100446741,2.3706067643900606e-10,1.3225839503821348,5.355792654120669,-1770.9449700071134,5579094644.667589
512,logbarrier_handoff_h25,900,1506770,-90.28125,-83.71875,84.71875,0.34087759256362915,0.028105713427066803,0.001544244005344808,68.4256362915039,1.5062570571899414,0.0,0.0,86,5.609456199639666,5.149528200040723e-10,4.6119024171676655,2.0460754291470056,-1200.5109518569377,8955970795.792892,146,2.6923832867582522,2.2913923487105353e-10,1.3834985581747397,5.218593122604888,-1786.414583664784,6037807357.405612
512,logbarrier_handoff_h25,950,1542758,-85.5625,-81.53125,82.53125,0.31203559041023254,0.026224831119179726,0.0011683620978146791,73.58272552490234,1.557363510131836,0.0,0.0,89,6.197991857192537,5.825759794590853e-10,5.184829006800409,1.9647847505098825,-1234.7867546472462,8899833136.983194,146,2.7635756858138576,1.6852068727311177e-10,1.4927599607898343,4.981983522713654,-1812.0040716160593,8858022032.455898
512,logbarrier_handoff_h25,1000,1577792,-87.59375,-85.25,86.25,0.302234023809433,0.025470741093158722,0.000999264419078827,79.69786834716797,1.5901485681533813,0.0,0.0,87,6.567385787234,5.837344892853026e-10,5.532484093824996,1.9333544903908257,-1209.2692973472808,9477740643.008284,145,2.841757188387078,2.482162103233726e-10,1.55241666083791,4.912638308612127,-1793.3664008143778,6254292009.43582
512,reward_only,0,0,-499.625,-287.21875,288.09375,1.0678863525390625,0.22138117253780365,0.20337799191474915,238.6439208984375,0.2116399109363556,0.0,0.0,53,1.8594477214571126,1.382378810653184e-10,1.1195170035636852,2.1007851675486573,-813.7353621805909,8098482087.082232,146,2.0196117167908376,2.6016212395233586e-10,0.9213897022778813,4.334477845270441,-1854.2961627497275,3541598170.711001
512,reward_only,50,199994,-500.0,-500.0,500.0,1.043328046798706,0.1875458061695099,0.1457701474428177,66.70277404785156,0.2957340180873871,0.0,0.0,56,1.8659387024863994,1.215519767338792e-10,1.181794786887338,2.0640243735768466,-864.6106247730891,9722546836.68954,146,2.0452590703220173,3.430459311575651e-10,0.9477535100508324,4.440336494869026,-1825.157741531993,2762759805.5244617
