active_beta,active_fisher_beta,environment_steps,fisher_environment_steps,fisher_logdet_condition_number,fisher_logdet_effective_rank,fisher_logdet_frobenius_norm,fisher_logdet_gradient_trajectory_count,fisher_logdet_logdet_margin,fisher_logdet_maximum_eigenvalue,fisher_logdet_minimum_eigenvalue,fisher_logdet_mu,fisher_logdet_parameter_count,fisher_logdet_rank,fisher_logdet_score_backend,fisher_logdet_separate_fisher_batch,fisher_logdet_surrogate_value,fisher_logdet_trace,fisher_logdet_trajectory_count,fisher_policy_update,gradient_environment_steps,mean_batch_return,mean_episode_length,method,reward_loss,run_id,seed,total_loss,update
0.0,4.336134880313252e-07,116032000,48000,16649954564.608686,3.557858586844479,11469.690170055625,128,-175.10280547288903,9514.532914231648,5.714449776611304e-07,0.0,68,68,vmap,True,-292948.4170823954,18702.126727288123,96,1035,64000,36.1964621507332,500.0,fisher_logdet,5.421553611755371,seed_24__fisher_logdet,24,5.548579996699724,1036
0.0,4.336134880313252e-07,116144000,48000,15167834455.987339,3.4360266668038157,12732.965722309811,128,-166.21700344495162,10904.767744519278,7.189403191445526e-07,0.0,68,68,vmap,True,-220408.6300089162,20262.34504931574,96,1036,64000,36.10779917612682,500.0,fisher_logdet,-5.385679244995117,seed_24__fisher_logdet,24,-5.290107090144745,1037
0.0,4.336134880313252e-07,116256000,48000,22146439065.35504,3.3318943250156443,13405.496249452879,128,-161.15122216275506,11566.946499841351,5.222937405741312e-07,0.0,68,68,vmap,True,-218671.13197873125,21035.556442424586,96,1037,64000,36.09894624115985,500.0,fisher_logdet,6.603443145751953,seed_24__fisher_logdet,24,6.698261898021009,1038
0.0,4.336134880313252e-07,116368000,48000,18858775848.202095,3.5222283015345,10699.057879728556,128,-168.9412110022957,9731.459179355694,5.160175431155275e-07,0.0,68,68,vmap,True,-254042.30050424353,16796.714331134917,96,1038,64000,36.05511418448621,500.0,fisher_logdet,4.575020790100098,seed_24__fisher_logdet,24,4.685176958129245,1039
0.0,4.336134880313252e-07,116480000,48000,17919350413.1715,3.39166239455241,12561.320640276386,128,-161.60846610849455,11268.514052977127,6.288461240589547e-07,0.0,68,68,vmap,True,-233403.10808009753,19610.47225796914,96,1039,64000,35.51898036329524,500.0,fisher_logdet,-16.23459243774414,seed_24__fisher_logdet,24,-16.133385701932177,1040
0.0,4.336134880313252e-07,116592000,48000,9616538064.757082,3.6187909650861676,10870.317937772748,128,-167.88746222049724,9289.057235631391,9.659460788362238e-07,0.0,68,68,vmap,True,-239114.78516591716,17640.387160614948,96,1040,64000,36.13220689254554,500.0,fisher_logdet,-10.355842590332031,seed_24__fisher_logdet,24,-10.252159194296377,1041
0.0,4.336134880313252e-07,116704000,48000,12649202995.351593,3.5443094536930664,11667.270089992577,128,-156.30465264163834,10112.856644197567,7.994856788932791e-07,0.0,68,68,vmap,True,-208959.60584515324,18674.42971204608,96,1041,64000,36.195402924554614,500.0,fisher_logdet,-2.6761703491210938,seed_24__fisher_logdet,24,-2.585562645572926,1042
0.0,4.336134880313252e-07,116816000,48000,19691884579.533104,3.364454900110385,12545.736900365318,128,-165.88004633907917,11421.210663012076,5.799958158846204e-07,0.0,68,68,vmap,True,-267681.62112176546,19328.976611367303,96,1042,64000,35.70555295158479,500.0,fisher_logdet,-10.829063415527344,seed_24__fisher_logdet,24,-10.712993054110855,1043
0.0,4.336134880313252e-07,116928000,48000,7932591687.60142,3.934497106388671,9161.206935425902,128,-165.96316935827326,7331.694321970739,9.242495530723106e-07,0.0,68,68,vmap,True,-283291.34157839173,15585.41258465714,96,1043,64000,34.95653190563077,500.0,fisher_logdet,-5.2226104736328125,seed_24__fisher_logdet,24,-5.099771526881932,1044
0.0,4.336134880313252e-07,117040000,48000,7337901400.40623,3.7275406097099446,10389.661757881824,128,-163.69780839023966,8489.586800285557,1.156950241906435e-06,0.0,68,68,vmap,True,-292322.0157137244,17267.823708281598,96,1044,64000,35.39368463664832,500.0,fisher_logdet,-7.168308258056641,seed_24__fisher_logdet,24,-7.041553489194665,1045
0.0,4.336134880313252e-07,117152000,48000,14599490163.832588,4.009112004379564,9252.699659727257,128,-162.83912184303384,7997.246394143602,5.477757308234798e-07,0.0,68,68,vmap,True,-215664.4958864012,15549.087886465428,96,1045,64000,35.528085088770695,500.0,fisher_logdet,19.73822021484375,seed_24__fisher_logdet,24,19.83173524914957,1046
0.0,4.336134880313252e-07,117264000,48000,9729988696.767183,3.7207716330201452,9401.06823166612,128,-157.92606016370098,8175.75885294092,8.402639620390659e-07,0.0,68,68,vmap,True,-195432.1562738142,15293.838459636892,96,1046,64000,36.65473188669428,500.0,fisher_logdet,-8.017486572265625,seed_24__fisher_logdet,24,-7.932744553310253,1047
0.0,4.336134880313252e-07,117376000,48000,12897268313.791885,3.355870888539365,11972.116516863225,128,-161.98192810506873,10984.991069481432,8.517300564906809e-07,0.0,68,68,vmap,True,-223386.95880387333,18310.553284324928,96,1047,64000,36.06059968001512,500.0,fisher_logdet,-24.688697814941406,seed_24__fisher_logdet,24,-24.59183421655375,1048
0.0,4.336134880313252e-07,117488000,48000,22131908999.32162,3.6351916217426266,10039.297341886051,128,-162.11203012806823,8919.868812768076,4.030320571551909e-07,0.0,68,68,vmap,True,-257649.17107285355,16112.873873311913,96,1048,64000,35.83101812597013,500.0,fisher_logdet,3.3877944946289062,seed_24__fisher_logdet,24,3.499514650386186,1049
0.0,4.336134880313252e-07,117600000,48000,12300132443.131718,3.6880936234007966,10258.396466048152,128,-161.51315635298562,8885.564335979485,7.223958259848742e-07,0.0,68,68,vmap,True,-266764.5311359768,16644.53000554219,96,1049,64000,35.37401706630993,500.0,fisher_logdet,7.885198593139648,seed_24__fisher_logdet,24,8.00087129196856,1050
0.0,4.336134880313252e-07,117712000,48000,8671067728.91562,3.775218147700646,10933.435086144065,128,-157.41471721377292,8609.31155433988,9.928779042551125e-07,0.0,68,68,vmap,True,-232443.2355258072,18324.273438112843,96,1050,64000,36.14257981421159,500.0,fisher_logdet,-11.661593437194824,seed_24__fisher_logdet,24,-11.560802915069193,1051
